Routine A,Routine B,Routine C,Routine D,Routine E,Routine F,Routine G,Routine H,Routine I,Routine J,Routine K,Routine L,Routine M,Routine N,Routine O,Routine P,Routine Q,Routine R,Routine S,Routine T,Routine U,Routine V,Routine W,Routine X,Routine Y,Routine Z,Routine AA,Routine AB,Routine AC,Routine AD,Routine AE,Routine AF,Routine AG,Routine AH,Routine AI,Routine AJ,Routine AK,Routine AL,Routine AM
Performer 42,Performer 35,Performer 35,Performer 97,Performer 97,Performer 98,Performer 81,Performer 50,Performer 63,Performer 88,Performer 99,Performer 45,Performer 100,Performer 73,Performer 59,Performer 41,,Performer 74,Performer 63,Performer 65,Performer 96,Performer 67,Performer 81,Performer 86,Performer 101,Performer 102,Performer 100,,,,,,,,,,,,
Performer 24,,,Performer 62,Performer 62,Performer 36,Performer 82,Performer 101,Performer 103,Performer 96,,Performer 66,Performer 38,Performer 104,Performer 93,Performer 51,,Performer 87,Performer 22,Performer 105,Performer 63,Performer 16,Performer 23,Performer 34,Performer 16,Performer 21,Performer 105,,,,,,,,,,,,
Performer 9,,,,,Performer 106,Performer 107,Performer 21,Performer 22,Performer 100,,Performer 94,,Performer 102,Performer 102,Performer 58,,Performer 46,Performer 18,Performer 22,Performer 100,Performer 19,Performer 66,Performer 108,Performer 109,Performer 109,Performer 92,,,,,,,,,,,,
Performer 10,,,,,Performer 110,Performer 111,Performer 112,Performer 104,Performer 93,,Performer 56,,Performer 21,Performer 113,Performer 66,,Performer 85,Performer 57,Performer 19,Performer 71,Performer 35,Performer 88,Performer 97,Performer 35,Performer 34,Performer 108,,,,,,,,,,,,
Performer 20,,,,,Performer 65,Performer 102,Performer 16,Performer 57,Performer 105,,Performer 65,,,,Performer 82,,Performer 82,Performer 67,Performer 15,Performer 56,,Performer 96,Performer 114,,,Performer 15,,,,,,,,,,,,
Performer 17,,,,,Performer 115,Performer 19,Performer 34,Performer 116,Performer 80,,Performer 95,,,,Performer 68,,Performer 94,Performer 116,,Performer 57,,Performer 105,Performer 62,,,,,,,,,,,,,,,
Performer 13,,,,,Performer 117,Performer 118,Performer 119,Performer 97,Performer 86,,Performer 75,,,,Performer 94,,Performer 59,Performer 19,,Performer 16,,Performer 104,,,,,,,,,,,,,,,,
Performer 53,,,,,Performer 67,Performer 114,Performer 62,Performer 109,Performer 92,,Performer 18,,,,Performer 22,,Performer 100,Performer 15,,Performer 116,,Performer 95,,,,,,,,,,,,,,,,
Performer 33,,,,,Performer 77,,Performer 120,Performer 35,Performer 121,,Performer 67,,,,Performer 18,,Performer 104,,,Performer 62,,Performer 77,,,,,,,,,,,,,,,,
Performer 48,,,,,Performer 122,,,,,,Performer 77,,,,Performer 101,,,,,Performer 121,,Performer 92,,,,,,,,,,,,,,,,
Performer 55,,,,,,,,,,,Performer 108,,,,Performer 21,,,,,,,Performer 97,,,,,,,,,,,,,,,,
Performer 76,,,,,,,,,,,,,,,Performer 19,,,,,,,Performer 114,,,,,,,,,,,,,,,,
Performer 32,,,,,,,,,,,,,,,Performer 34,,,,,,,,,,,,,,,,,,,,,,,
Performer 87,,,,,,,,,,,,,,,Performer 23,,,,,,,,,,,,,,,,,,,,,,,
Performer 36,,,,,,,,,,,,,,,Performer 62,,,,,,,,,,,,,,,,,,,,,,,
Performer 51,,,,,,,,,,,,,,,Performer 38,,,,,,,,,,,,,,,,,,,,,,,
Performer 41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Performer 113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
